,,,,,CD_6p_Dollar,CD_6p_Dollar,CD_6p_Cents,CD_6p_Cents,CD_6p_def_Dollar,CD_6p_def_Dollar,CD_6p_def_Cents,CD_6p_def_Cents,CD_3p_Dollar,CD_3p_Dollar,CD_3p_Cents,CD_3p_Cents
,,,,,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count
delegate name,First Name,Last Name,delegate_state,sign,,,,,,,,,,,,
Robert R. Livingston,Robert R.,Livingston,NY,yes,0.0,0,0.0,0,0.0,0,0.0,0,969.0,2,41.0,2
John Lloyd,John,Lloyd,SC,yes,0.0,0,0.0,0,0.0,0,0.0,0,50.0,1,78.0,1
Nicholas Low,Nicholas,Low,NY,yes,17986618.0,3313,102186.0,3313,11752205.0,3313,163978.0,3313,5818544.0,3313,167070.0,3313
John Low,John,Low,MA,yes,18.0,2,138.0,2,8.0,2,168.0,2,194.0,2,48.0,1
Benjamin Manning ,Benjamin,Manning ,NJ,yes,0.0,0,0.0,0,0.0,0,0.0,0,70.0,1,44.0,1
Luther Martin,Luther,Martin,Constitution,no,1954.0,3,251.0,3,976.0,3,225.0,3,1622.0,3,149.0,2
Joseph Martin,Joseph,Martin,NC,yes,1122.0,18,780.0,18,552.0,18,1278.0,18,1638.0,18,468.0,18
Luther Martin,Luther,Martin,MD,no,1954.0,3,251.0,3,976.0,3,225.0,3,1622.0,3,149.0,2
William Martin,William,Martin,NC,no,1519.0,1,56.0,1,759.0,1,79.0,1,0.0,0,0.0,0
Elihu Marvin,Elihu,Marvin,CT,no,128.0,1,65.0,1,64.0,1,33.0,1,134.0,1,60.0,1
George Mason,George,Mason,VA,no,5481.0,9,261.0,9,909.0,9,495.0,9,1473.0,9,378.0,6
George Mason,George,Mason,Constitution,no,5481.0,9,261.0,9,909.0,9,495.0,9,1473.0,9,378.0,6
William Mason,William,Mason,VA,yes,6226.0,28,1135.0,28,3104.0,28,1486.0,28,4911.0,28,1568.0,28
Christopher Mason,Christopher,Mason,MA,no,68.0,1,34.0,1,0.0,0,0.0,0,27.0,1,65.0,1
George Matthews,George,Matthews,GA,yes,833.0,1,90.0,1,416.0,1,95.0,1,565.0,1,24.0,1
James Maxwell,James,Maxwell,GA,yes,152.0,1,92.0,1,76.0,1,46.0,1,116.0,1,92.0,1
James McClurg,James,McClurg,Constitution,no,17168.0,8,356.0,8,8580.0,8,580.0,8,4632.0,8,412.0,8
William McKee,William,McKee,VA,yes,384.0,1,63.0,1,192.0,1,32.0,1,0.0,0,0.0,0
Allen McLane,Allen,McLane,DE,yes,0.0,0,0.0,0,1257.0,1,2.0,1,0.0,0,0.0,0
John Francis Mercer,John Francis,Mercer,MD,no,0.0,0,0.0,0,0.0,0,0.0,0,2412.0,1,15.0,1
John Miller,John,Miller,VA,no,1600.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
John Miller,John,Miller,SC,yes,1600.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
Elisha Mills,Elisha,Mills,CT,yes,15832.0,8,336.0,8,7912.0,8,568.0,8,17444.0,8,192.0,8
James Montgomery,James,Montgomery,VA,no,0.0,0,0.0,0,0.0,0,0.0,0,49.0,1,50.0,1
Robert Montgomery,Robert,Montgomery,NC,yes,2565.0,1,62.0,1,1282.0,1,82.0,1,143.0,1,88.0,1
Amos Moody,Amos,Moody,NH,yes,64.0,1,17.0,1,32.0,1,8.0,1,32.0,1,71.0,1
James Moore,James,Moore,NC,no,61.0,2,35.0,2,30.0,2,77.0,2,30.0,1,73.0,1
