,,,,,Loan Office Certificates Face Value,Loan Office Certificates Face Value,Loan Office Certificates Specie Value,Loan Office Certificates Specie Value
,,,,,sum,count,sum,count
John Hampton,John,Hampton,SC,no,6500,13,1094.88886,13
John Hancock,John,Hancock,MA,yes,400,1,34.53333,1
John Harris,John,Harris,PA,no,11300,17,5116.47073,17
John Hartwell Cocke,John Hartwell,Cocke,VA,yes,1600,2,298.2222,2
John Hay,John,Hay,NC,yes,91300,19,3640.19862,19
John Holbrook,John,Holbrook,CT,yes,400,1,52.31111,1
John Howell Briggs,John Howell,Briggs,VA,no,3000,5,282.08195,5
John Hubley,John,Hubley,PA,yes,500,1,40.75,1
John Hunn,John,Hunn,PA,yes,13900,21,1045.1179799999998,21
John Hunt,John,Hunt,NC,yes,1000,2,165.23337,2
John Hunter,John,Hunter,SC,yes,18300,12,1559.97482,12
John Ingram,John,Ingram,DE,yes,1200,3,116.21667000000001,3
John Jacob Faesch ,John Jacob,Faesch ,NJ,yes,500,2,43.166669999999996,2
John Jay,John,Jay,NY,yes,8900,15,8719.3542,15
John Johnston,John,Johnston,NC,yes,33800,56,5689.030769999997,56
John Jones,John,Jones,DE,yes,53000,86,13422.693919999998,86
John K. Smith,John K.,Smith,MA,yes,23900,42,2011.0513799999994,42
John Kean,John,Kean,SC,yes,9600,13,1121.6416100000001,13
John King,John,King,GA,yes,19600,11,702.1806429999999,11
John Langdon,John,Langdon,Constitution,yes,42200,112,26977.611679999984,112
John Laws,John,Laws,DE,yes,300,1,29.808329999999998,1
John Lewis Bourquin,John Lewis,Bourquin,SC,no,2800,7,821.68753,7
John Lewis Gervias,John Lewis,Gervias,SC,no,2800,7,821.68753,7
John Lindsey,John,Lindsey,SC,no,500,1,12.5,1
John Lloyd,John,Lloyd,SC,yes,7500,19,7500.0,19
John Logan,John,Logan,VA,no,300,1,24.14167,1
John Lowry,John,Lowry,SC,no,1091,1,97.55358000000001,1
John Ludwig,John,Ludwig,PA,no,1000,1,39.5,1
John Marshall,John,Marshall,VA,yes,5200,8,239.881934,8
John Matthews,John,Matthews,SC,yes,15600,7,491.00834,7
John McPherson,John,McPherson,SC,yes,35900,11,3312.5181999999995,11
John Miller,John,Miller,VA,no,13600,25,3246.1930239999997,25
John Minot,John,Minot,MA,no,10900,20,719.8653300000001,20
John Montgomery,John,Montgomery,SC,no,3300,6,224.07084000000003,6
John Moore,John,Moore,NC,yes,6000,9,3669.01805,9
John Neilson,John,Neilson,NJ,yes,9000,9,384.52637000000004,9
John Palmer,John,Palmer,SC,yes,3100,8,2207.9917,8
John Parker,John,Parker,SC,yes,1100,3,106.30417,3
John Parnham,John,Parnham,MD,yes,2700,7,590.09163,7
John Phelps,John,Phelps,CT,yes,1600,4,1600.0,4
John Pickering,John,Pickering,NH,yes,1500,4,135.56667000000002,4
John Pratt,John,Pratt,MA,no,1700,3,1161.18188,3
John Ramsay,John,Ramsay,NC,yes,3400,4,211.936109,4
John Rhea,John,Rhea,NC,yes,300,1,28.504170000000002,1
John Richards,John,Richards,PA,yes,5400,9,369.62364,9
John Rutherford,John,Rutherford,GA,yes,3200,16,246.22224000000003,16
John Schenck,John,Schenck,NY,yes,11300,17,5906.8944599999995,17
John Scott,John,Scott,NC,no,7500,14,399.82223000000005,14
John Simmons,John,Simmons,SC,yes,1300,3,131.29305,3
