,delegate name,First Name,Last Name,delegate_state,sign,Dollars_sum,Dollars_count,90th_sum,90th_count,Total_assets,sign_coded
177,John Baxter,John,Baxter,MA,yes,200,1,23.044439999999998,1,200.25604933333332,1.0
178,John Beatty,John,Beatty,NJ,yes,5600,13,766.3112000000001,13,5608.514568888889,1.0
179,John Bishop,John,Bishop,PA,no,2900,6,72.5,6,2900.8055555555557,0.0
180,John Black,John,Black,PA,yes,4900,6,273.63889,6,4903.040432111111,1.0
181,John Boyd,John,Boyd,PA,yes,5700,4,360.0875,4,5704.000972222222,1.0
182,John Brooks,John,Brooks,MA,yes,8800,13,1774.56382,13,8819.717375777778,1.0
183,John Brown,John,Brown,NC,no,35600,58,26084.57088,58,35889.82856533334,0.0
184,John Budd,John,Budd,SC,yes,1800,5,517.49302,5,1805.7499224444443,1.0
185,John Burgess,John,Burgess,SC,no,300,1,23.683329999999998,1,300.2631481111111,0.0
186,John Burnham,John,Burnham,MA,yes,200,1,28.502779999999998,1,200.31669755555555,1.0
187,John Calfe,John,Calfe,NH,yes,400,2,42.28889000000001,2,400.4698765555556,1.0
188,John Carter Littlepage,John Carter,Littlepage,VA,no,4000,5,325.64725,5,4003.618302777778,0.0
189,John Chandler,John,Chandler,CT,yes,400,2,40.18055,2,400.44645055555554,1.0
190,John Chester,John,Chester,CT,yes,400,1,33.33889,1,400.3704321111111,1.0
191,John Cochran,John,Cochran,NH,no,4400,8,2040.73334,8,4422.674814888889,0.0
192,John Coffin Jones,John Coffin,Jones,MA,yes,10000,40,6239.650899999997,40,10069.329454444445,1.0
193,John Collins,John,Collins,SC,yes,3300,6,1242.7748700000002,6,3313.8086096666666,1.0
194,John Cook,John,Cook,SC,no,200,1,15.241670000000001,1,200.16935188888888,0.0
195,John Coulter,John,Coulter,MD,yes,1400,5,130.9,5,1401.4544444444443,1.0
196,John Curtiss,John,Curtiss,CT,yes,1000,4,362.98605999999995,4,1004.0331784444444,1.0
197,John Dabney,John,Dabney,NC,no,4400,3,362.08335999999997,3,4404.023148444445,0.0
198,"John Davenport, Jun.",John,"Davenport, Jun.",CT,yes,1000,2,428.25278000000003,2,1004.7583642222222,1.0
199,John Davis,John,Davis,MA,yes,134900,196,5778.647147999995,196,134964.20719053334,1.0
200,John Dickinson,John,Dickinson,Constitution,yes,1800,4,378.12221999999997,4,1804.201358,1.0
201,John Done,John,Done,MD,yes,1600,3,129.15555,3,1601.4350616666666,1.0
202,John Dunlap,John,Dunlap,MA,yes,112100,72,12869.974449000001,72,112242.9997161,1.0
203,John Edwards,John,Edwards,SC,yes,6000,10,865.6166700000001,10,6009.617963,1.0
204,John Elliot,John,Elliot,GA,yes,9200,15,3057.1111999999994,15,9233.967902222223,1.0
205,John Evans,John,Evans,VA,no,23900,48,4113.2810899999995,48,23945.70312322222,0.0
206,John F. Mercer,John F.,Mercer,Constitution,no,1500,2,165.14580999999998,2,1501.8349534444444,0.0
207,John Fell,John,Fell,NJ,yes,3000,5,1394.2085,5,3015.4912055555556,1.0
208,John Fowler,John,Fowler,VA,no,4200,6,393.15006,6,4204.368334,0.0
209,John Francis Mercer,John Francis,Mercer,MD,no,1500,4,75.30416,4,1500.836712888889,0.0
210,John Frye,John,Frye,MA,no,900,2,67.71249999999999,2,900.7523611111111,0.0
211,John Fuller,John,Fuller,MA,no,1000,4,32.180555999999996,4,1000.3575617333333,0.0
212,John G. Scull,John G.,Scull,NC,no,900,3,78.25694,3,900.8695215555556,0.0
213,John Glover,John,Glover,MA,yes,19100,28,3886.4042499999996,28,19143.182269444445,1.0
214,John Hall,John,Hall,NC,yes,22100,38,1227.6444499999993,38,22113.640493888888,1.0
215,John Hamilton,John,Hamilton,MA,no,55300,28,1735.5764000000006,28,55319.284182222225,0.0
216,John Hampton,John,Hampton,SC,no,6500,13,1094.88886,13,6512.1654317777775,0.0
217,John Hancock,John,Hancock,MA,yes,400,1,34.53333,1,400.3837036666667,1.0
218,John Harris,John,Harris,PA,no,11300,17,5116.47073,17,11356.849674777777,0.0
219,John Hartwell Cocke,John Hartwell,Cocke,VA,yes,1600,2,298.2222,2,1603.31358,1.0
220,John Hay,John,Hay,NC,yes,91300,19,3640.19862,19,91340.44665133333,1.0
221,John Holbrook,John,Holbrook,CT,yes,400,1,52.31111,1,400.58123455555557,1.0
222,John Howell Briggs,John Howell,Briggs,VA,no,3000,5,282.08195,5,3003.1342438888887,0.0
223,John Hubley,John,Hubley,PA,yes,500,1,40.75,1,500.4527777777778,1.0
