,index,city,county,state,country,population
370,370,Hadley,Hampshire,Massachusetts,USA ,143
371,371,Tyrone,Fayette,Pennsylvania,USA ,410
372,372,Middletown,Newport,Rhode Island,USA ,92
373,373,Northampton,Hampshire,Massachusetts,USA ,NR
374,374,Manheim,Lancaster,Pennsylvania,USA ,208
375,375,Cumru,Berks,Pennsylvania,USA ,245
376,376,Hardwick,Worcester,Massachusetts,USA ,297
377,377,Stockbridge,Berkshire,Massachusetts,USA ,198
378,378,Harrison,Westchester,New York,USA ,152
379,379,Beekman,Dutchess,New York,USA ,510
380,380,Westminster,Windham,Vermont,USA ,261
381,381,Southampton,Windham,Connecticut,USA ,NR
382,382,Sterling,Worcester,Massachusetts,USA ,253
383,383,Washington,Beaufort,North Carolina,USA ,NR
384,384,Falmouth,Barnstable,Massachusetts,USA ,261
385,385,Wallkill,Ulster,New York,USA ,392
386,386,Back River Upper Hundred,Baltimore,Maryland,USA ,NR
387,387,Dighton,Bristol,Massachusetts,USA ,285
388,388,Amity,Berks,Pennsylvania,USA ,153
389,389,Westerly,Washington,Rhode Island,USA ,360
390,390,Manor Township,Lancaster,Pennsylvania,USA ,268
391,391,Columbia,Richland,South Carolina,USA ,NR
392,392,South Kingston,Washington,Rhode Island,USA ,NR
393,393,Northfield,Hampshire,Massachusetts,USA ,122
394,394,Oxford,Chester,Pennsylvania,USA ,148
395,395,West Springfield,Hampshire,Massachusetts,USA ,650
396,396,Westport,Bristol,Massachusetts,USA ,452
397,397,St Helena,Beaufort,South Carolina,USA ,NR
398,398,Stephen,Westchester,New York,USA ,NR
399,399,Sunbury,Northumberland,Pennsylvania,USA ,NR
400,400,Fawn,York,Pennsylvania,USA ,230
401,401,New London,Chester,Pennsylvania,USA ,120
402,402,South Hempstead,Queens,New York,USA ,NR
403,403,Petersburg,Grant County,Virginia,USA,NR
404,404,Cape May,Cape May County,New Jersey,USA,NR
405,405,Savannah,Chatham County,Georgia,USA,NR
406,406,Accomac,Accomack County,Virginia,USA,NR
407,407,Richmond,Chesterfield County,Virginia,USA,NR
408,408,Fredericksburg,Spotsylvania County,Virginia,USA,NR
409,409,Princeton,Middlesex County,New Jersey,USA,NR
410,410,Augusta,Richmond County,Georgia,USA,NR
411,411,Burlington,Burlington County,New Jersey,USA,NR
412,412,Middlesex,Middlesex County,New Jersey,USA,NR
413,413,Portsmouth,Norfolk County,Virginia,USA,NR
414,414,Huntington,Hunterdon County,New Jersey,USA,NR
415,415,New Brunswick,Middlesex County,New Jersey,USA,NR
416,416,Mount Holly,Burlington County,New Jersey,USA,NR
417,417,Trenton,Hunterdon County,New Jersey,USA,NR
418,418,Alexandria,Fairfax County,Virginia,USA,NR
419,419,Newark,Essex County,New Jersey,USA,NR
420,420,Williamsburg,James City County,Virginia,USA,NR
421,421,Newton,Sussex County,New Jersey,USA,NR
422,422,King George,King George County,Virginia,USA,NR
