,full name,state,state debt,Same State Loan Office,Different State Loan Office,Same State Liquidated Debt,Different State Liquidated Debt,Pierce Certificates,Total,SSLO Total,DSLO Total,SSLD Total,DSLD Total,PC Total,Debt Total,tot_pre1790_certs
1338,['Jonathan Fuller'],CT,CT,['Jonathan Fuller'],,,,['Jonathan Fuller'],278.53,278.5417,0.0,0.0,0.0,17.78,296.32169999999996,2
1339,['Jonathan Glading'],RI,RI,,,,,,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1340,['Jonathan Gray'],CT,CT,['Jonathan Gray'],,,,,251.43,242.66388999999998,0.0,0.0,0.0,0.0,242.66388999999998,1
1341,['Jonathan Langton'],CT,CT,,,,,,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0
1342,['Jonathan Lay'],CT,CT,['Jonathan Lay'],,,,,410.19,606.5971999999999,0.0,0.0,0.0,0.0,606.5971999999999,1
1343,['Jonathan Maxson'],RI,RI,,,,,,20.74,0.0,0.0,0.0,0.0,0.0,0.0,0
1344,['Jonathan Miller'],CT,CT,['Jonathan Miller'],,,['Jonathan Miller'],['Jonathan Miller'],600.0,600.0,0.0,0.0,303.1111111111111,348.65999999999997,1251.7711111111112,3
1345,['Jonathan Palmer'],CT,CT,,,,,['Jonathan W Palmer'],711.86,0.0,0.0,0.0,0.0,16.44,16.44,1
1346,['Jonathan Russell'],CT,CT,,,,,,1680.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1347,['Jonathan Sturges'],CT,CT,['Jonathan Sturges'],,,,,582.49,639.45556,0.0,0.0,0.0,0.0,639.45556,1
1348,['Jonathan Trumbull'],CT,CT,,['Jonathan Trumbull'],['Jonathan Trumbul'],['Jonathan Trumbul'],['Jonathan Trumbull'],10843.62,0.0,1414.4625,53.75555555555555,53.75555555555555,1701.3400000000001,3223.313611111111,4
1349,['Jonathan Warner'],NH,NH,['Jonathan Warner'],['Jonathan Warner'],['Jonathan Warner'],['Jonathan Warner'],['Jonathan Warner'],186.96,107.0556,91.32776999999999,7.5,192.86666666666667,104.28,503.03003666666666,5
1350,['Jonathan Wells'],PA,PA,,,['Jonathan Wells'],['Jonathan Wells'],,103.24,0.0,0.0,99.11111111111111,118.27777777777779,0.0,217.3888888888889,2
1351,['Jonathan Wheeler'],MA,RI,,,,,,651.9,0.0,0.0,0.0,0.0,0.0,0.0,0
1352,['Jonathan Woodward'],MA,CT,,,['Jonathan Woodward'],['Jonathan Woodward'],,6.27,0.0,0.0,0.0,15.0,0.0,15.0,2
1353,['Jorael Joseph'],SC,GA,,,,,,36.9087,0.0,0.0,0.0,0.0,0.0,0.0,0
1354,['Joseph Abendanone'],SC,SC,,,,,,2009.94,0.0,0.0,0.0,0.0,0.0,0.0,0
1355,['Joseph Akerman'],NH,NH,,,,,,1113.07,0.0,0.0,0.0,0.0,0.0,0.0,0
1356,['Joseph Arnold'],RI,RI,,,,,,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1357,['Joseph Badcock'],CT,CT,,['Joseph Badcock'],,,['Joseph Badcock'],1432.24,0.0,107.34722,0.0,0.0,22.0,129.34722,2
1358,['Joseph Badger'],NH,NH,['Joseph Badger'],,,,,1144.66,1144.64438,0.0,0.0,0.0,0.0,1144.64438,1
1359,['Joseph Ball'],PA,PA,['Joseph Ball'],,['Joseph Ball'],['Joseph Ball'],,27181.24,5959.36994,0.0,2209.3555555555554,2255.022222222222,0.0,10423.747717777776,3
1360,['Joseph Barker'],RI,RI,,,,,,87.96,0.0,0.0,0.0,0.0,0.0,0.0,0
1361,['Joseph Birch'],SC,SC,,,,,,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1362,['Joseph Blague'],CT,CT,,,,,,15.91,0.0,0.0,0.0,0.0,0.0,0.0,0
1363,['Joseph Blyth'],SC,SC,,,,,,3454.9,0.0,0.0,0.0,0.0,0.0,0.0,0
1364,['Joseph Boggs'],DE,PA,['Joseph Boggs'],['Joseph Boggs'],,,,1073.73,13.586110000000001,0.0,0.0,0.0,0.0,13.586110000000001,2
1365,['Joseph Boggs'],PA,PA,['Joseph Boggs'],['Joseph Boggs'],,,,15628.78,13.586110000000001,0.0,0.0,0.0,0.0,13.586110000000001,2
1366,['Joseph Borden'],NJ,PA,['Joseph Borden'],,['Joseph Borden'],['Joseph Borden'],,863.43,0.0,0.0,0.0,937.7,0.0,937.7,3
1367,['Joseph Brevard'],SC,SC,,,,,,3199.99,0.0,0.0,0.0,0.0,0.0,0.0,0
1368,['Joseph Brown'],PA,PA,['Joseph Brown'],['Joseph Brown'],['Joseph Brown'],['Joseph Brown'],['Joseph Brown'],99.6,515.3347200000001,565.00694,103.06666666666666,631.8444444444444,3049.14,4864.392771111111,5
1369,['Joseph Buckley'],CT,CT,,,['Joseph Buckey'],['Joseph Buckey'],['Joseph Buckley'],225.7,0.0,0.0,5.0,5.0,109.21,119.21,3
1370,['Joseph Buckminster'],NH,NH,['Joseph Buckminster'],,,,,287.3,33.7,0.0,0.0,0.0,0.0,33.7,1
1371,['Joseph Burr'],CT,CT,,,['Joseph Burr'],['Joseph Burr'],,4.0600000000000005,0.0,0.0,15.0,15.0,0.0,30.0,2
1372,['Joseph Caren'],CT,CT,,,,,,1613.23,0.0,0.0,0.0,0.0,0.0,0.0,0
1373,['Joseph Carew'],CT,RI,['Joseph Carew'],,,,,2393.31,0.0,0.0,0.0,0.0,0.0,0.0,1
