,,,,,CD_6p_Dollar,CD_6p_Dollar,CD_6p_Cents,CD_6p_Cents,CD_6p_def_Dollar,CD_6p_def_Dollar,CD_6p_def_Cents,CD_6p_def_Cents,CD_3p_Dollar,CD_3p_Dollar,CD_3p_Cents,CD_3p_Cents,ASD_6p_Dollar,ASD_6p_Dollar,ASD_6p_Cents,ASD_6p_Cents,ASD_6p_def_Dollar,ASD_6p_def_Dollar,ASD_6p_def_Cents,ASD_6p_def_Cents,ASD_3p_Dollar,ASD_3p_Dollar,ASD_3p_Cents,ASD_3p_Cents
,,,,,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count
David Brearly,David,Brearly,Constitution,yes,,,,,,,,,,,,,,,,,,,,,,,,
Robert Breckenridge,Robert,Breckenridge,VA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Breese,Samuel,Breese,NJ,yes,,,,,,,,,,,,,,,,,,,,,,,,
Adam Brevard,Adam,Brevard,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
William Bridgers,William,Bridgers,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Howell Briggs,John Howell,Briggs,VA,no,,,,,,,,,,,,,,,,,,,,,,,,
Art. Brigham,Art.,Brigham,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Simeon Bright,Simeon,Bright,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Dan. Nath. Brinsmade,Dan. Nath.,Brinsmade,CT,yes,,,,,,,,,,,,,,,,,,,,,,,,
Hezekiah Broad,Hezekiah,Broad,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Humphrey Brooke,Humphrey,Brooke,VA,yes,0.0,0.0,0.0,0.0,16.0,1.0,40.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
David Brooks,David,Brooks,CT,no,,,,,,,,,,,,,,,,,,,,,,,,
John Brooks,John,Brooks,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
E. Brooks,E.,Brooks,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Broom,Jacob,Broom,Constitution,yes,,,,,,,,,,,,,,,,,,,,,,,,
R. Brounfield,R.,Brounfield,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Gustavus Richard Brown,Gustavus Richard,Brown,MD,yes,,,,,,,,,,,,,,,,,,,,,,,,
David Brown,David,Brown,MA,no,12.0,1.0,22.0,1.0,0.0,0.0,0.0,0.0,39.0,2.0,7.0,1.0,278.0,2.0,155.0,2.0,138.0,2.0,177.0,2.0,208.0,2.0,165.0,2.0
William Brown,William,Brown,NC,yes,443.0,1.0,81.0,1.0,221.0,1.0,90.0,1.0,200.0,3.0,140.0,3.0,3444.0,1.0,35.0,1.0,1722.0,1.0,18.0,1.0,2583.0,1.0,27.0,1.0
Frederick Brown,Frederick,Brown,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Brown,Thomas,Brown,NC,no,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Brown,Jacob,Brown,SC,no,582.0,1.0,35.0,1.0,291.0,1.0,18.0,1.0,218.0,1.0,85.0,1.0,,,,,,,,,,,,
Neill Brown,Neill,Brown,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Brown,John,Brown,NC,no,36139.0,82.0,3392.0,66.0,17221.0,82.0,3118.0,62.0,18532.0,82.0,3735.0,82.0,28862.0,15.0,3008.6200000000003,15.0,4859.0,12.0,1465.29,12.0,22845.0,15.0,2526.9300000000003,15.0
William Brown,William,Brown,PA,no,443.0,1.0,81.0,1.0,221.0,1.0,90.0,1.0,200.0,3.0,140.0,3.0,3444.0,1.0,35.0,1.0,1722.0,1.0,18.0,1.0,2583.0,1.0,27.0,1.0
Joseph Brown,Joseph,Brown,SC,no,66.0,1.0,40.0,1.0,33.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Shear. Browne,Shear.,Browne,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Browne,Benjamin,Browne,MA,yes,643.0,1.0,34.0,1.0,321.0,1.0,67.0,1.0,198.0,1.0,0.0,0.0,,,,,,,,,,,,
N. Brownson,N.,Brownson,GA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Donald Bruce,Donald,Bruce,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Hardy Bryan,Hardy,Bryan,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
John H. Bryan,John H.,Bryan,NC,yes,,,,,,,,,,,,,431.0,1.0,86.0,1.0,215.0,1.0,93.0,1.0,323.0,1.0,89.0,1.0
Andrew Buchanan,Andrew,Buchanan,VA,no,,,,,,,,,,,,,,,,,,,,,,,,
Gideon Buckingham,Gideon,Buckingham,CT,yes,303.0,1.0,15.0,1.0,151.0,1.0,58.0,1.0,89.0,1.0,25.0,1.0,,,,,,,,,,,,
L. Buckminster,L.,Buckminster,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Budd,John,Budd,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Bull,Thomas,Bull,PA,yes,92.0,2.0,107.0,2.0,45.0,2.0,153.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Jonathan Bullard,Jonathan,Bullard,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Cuthbert Bullitt,Cuthbert,Bullitt,VA,no,,,,,,,,,,,,,,,,,,,,,,,,
Zachariah Bulloch,Zachariah,Bulloch,SC,no,,,,,,,,,,,,,,,,,,,,,,,,
Rice Bullock,Rice,Bullock,VA,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Burgess,John,Burgess,SC,no,,,,,,,,,,,,,,,,,,,,,,,,
