,6p_Dollar,6p_Cents,6p_def_Dollar,6p_def_Cents,3p_Dollar,3p_Cents,town,state,occupation,county,name_type,6p_total
169,1852.0,46.0,926.0,23.0,1416.0,64.0,Haddam,CT,,Middlesex County,town,1852.46
170,705.0,66.0,352.0,83.0,576.0,,Norwich,CT,,New London County,town,705.66
171,1200.0,,600.0,,324.0,,Stafford,CT,,Tolland County,town,
172,78.0,31.0,39.0,16.0,,,Springfield,MA,,Hampshire County,town,78.31
173,84.0,36.0,42.0,19.0,95.0,15.0,Wethersfield,CT,,Hartford County,town,84.36
174,1252.0,29.0,626.0,14.0,825.0,83.0,Wethersfield,CT,,Hartford County,town,1252.29
175,58.0,9.0,29.0,4.0,20.0,19.0,Wethersfield,CT,,Hartford County,town,58.09
176,164.0,31.0,82.0,16.0,186.0,,Wethersfield,CT,Treasurer Stepney Society,Hartford County,town,164.31
177,120.0,71.0,60.0,36.0,97.0,55.0,Hartford,CT,,Hartford County,town,120.71
178,200.0,,100.0,,167.0,50.0,Tolland,CT,,Tolland County,town,
179,666.0,67.0,333.0,33.0,180.0,,Danbury,CT,,Fairfield County,town,666.67
180,1224.0,81.0,612.0,40.0,659.0,45.0,Goshen,CT,,Litchfield County,town,1224.81
181,5567.0,45.0,2783.0,72.0,3979.0,75.0,Goshen,CT,,Litchfield County,town,5567.45
182,219.0,58.0,109.0,79.0,120.0,,Woodstock,CT,,Windham County,town,219.58
183,99.0,53.0,49.0,76.0,63.0,57.0,Coventry,CT,,Tolland County,town,99.53
184,398.0,2.0,199.0,1.0,159.0,85.0,Boston,MA,,Suffolk County,town,398.02
185,164.0,65.0,82.0,32.0,172.0,30.0,Fairfield,CT,,Fairfield County,town,164.65
186,12.0,18.0,6.0,9.0,8.0,77.0,Fairfield,CT,,Fairfield County,town,12.18
187,35.0,17.0,17.0,59.0,25.0,32.0,Fairfield,CT,,Fairfield County,town,35.17
188,1585.0,73.0,792.0,86.0,439.0,55.0,Newington,CT,,Hartford County,town,1585.73
189,388.0,33.0,194.0,16.0,279.0,61.0,Fairfield,CT,,Fairfield County,town,388.33
190,165.0,70.0,82.0,85.0,125.0,88.0,Glastonbury,CT,,Hartford County,town,165.7
191,1446.0,9.0,723.0,4.0,1377.0,99.0,Bolton,CT,,Tolland County,town,1446.09
192,959.0,46.0,479.0,73.0,446.0,24.0,Litchfield,CT,,Litchfield County,town,959.46
193,1309.0,56.0,654.0,78.0,1089.0,8.0,Windsor,CT,,Hartford County,town,1309.56
194,825.0,55.0,412.0,78.0,341.0,31.0,Windham,CT,,Windham County,town,825.55
195,2235.0,50.0,1117.0,75.0,962.0,83.0,Windham,CT,,Windham County,town,2235.5
196,307.0,41.0,153.0,71.0,368.0,,Colchester,CT,,New London County,town,307.41
197,648.0,43.0,324.0,22.0,233.0,45.0,Farmington,CT,,Hartford County,town,648.43
198,410.0,16.0,205.0,8.0,497.0,42.0,Norwich,CT,,New London County,town,410.16
199,3327.0,0.0,1663.0,50.0,1326.0,37.0,New Haven,CT,,New Haven County,town,3327.0
200,1569.0,86.0,784.0,93.0,707.0,27.0,New London,CT,Merchant,New London County,town,1569.86
201,416.0,10.0,208.0,5.0,348.0,62.0,Lyme,CT,,New London County,town,416.1
202,25.0,33.0,12.0,66.0,6.0,86.0,Wethersfield,CT,,Hartford County,town,25.33
203,6706.0,11.0,3353.0,6.0,5195.0,98.0,New Haven,CT,,New Haven County,town,6706.11
204,3435.0,37.0,1717.0,68.0,932.0,6.0,Hebron,CT,,Tolland County,town,3435.37
205,374.0,18.0,187.0,9.0,248.0,93.0,Tyringham MA,MA,,Berkshire County,town,374.18
206,102.0,70.0,51.0,35.0,27.0,66.0,Wethersfield,CT,,Hartford County,town,102.7
207,664.0,95.0,332.0,47.0,179.0,53.0,Milford,CT,,New Haven County,town,664.95
208,188.0,61.0,94.0,31.0,96.0,,Hartford,CT,Treasurer,Hartford County,town,188.61
209,262.0,78.0,131.0,39.0,93.0,40.0,Stamford,CT,Attorney at Law,Fairfield County,town,262.78
210,822.0,93.0,411.0,47.0,324.0,,Hartford,CT,,Hartford County,town,822.93
211,303.0,15.0,151.0,58.0,89.0,25.0,Milford,CT,,New Haven County,town,303.15
212,126.0,16.0,63.0,8.0,154.0,,Pomfret,CT,,Windham County,town,126.16
213,327.0,59.0,163.0,80.0,164.0,8.0,Glastonbury,CT,,Hartford County,town,327.59
214,462.0,30.0,231.0,15.0,332.0,85.0,Wethersfield,CT,,Hartford County,town,462.3
215,1924.0,93.0,962.0,46.0,1220.0,3.0,Pomfret,CT,,Windham County,town,1924.93
216,600.0,0.0,300.0,,162.0,,Middletown,CT,,Middlesex County,town,600.0
217,200.0,0.0,100.0,,54.0,,Middletown,CT,,Middlesex County,town,200.0
218,15.0,47.0,7.0,74.0,,,New Haven,CT,,New Haven County,town,15.47
