,Last Name,First Name,Position,State,County / Town,Vote,full name 1,name duplication,state-name duplication
854,Freeman,Solomon,,MA,Harwich,yes,Solomon Freeman,False,False
855,Clark,Kimball,,MA,Harwich,yes,Kimball Clark,False,False
856,Whitman,Levi,,MA,Wellfleet,yes,Levi Whitman,False,False
857,Palmer,Joseph,,MA,Falmouth,yes,Joseph Palmer,False,False
858,Williams,James,,MA,Taunton,no,James Williams,False,False
859,Leonard,Nathaniel,,MA,Taunton,yes,Nathaniel Leonard,False,False
860,Pratt,Aaron,,MA,Taunton,no,Aaron Pratt,False,False
861,Bishop,Phan.,,MA,Rehoboth,no,Phan. Bishop,False,False
862,Brown,Frederick,,MA,Rehoboth,no,Frederick Brown,False,False
863,Windsor,William,,MA,Rehoboth,no,William Windsor,False,False
864,Mason,Christopher,,MA,Swansey,no,Christopher Mason,False,False
865,Brown,David,,MA,Swansey,no,David Brown,False,False
866,Slocum,Hol'r,,MA,Dartmouth,no,Hol'r Slocum,False,False
867,Hathaway,Melatiah,,MA,Dartmouth,no,Melatiah Hathaway,False,False
868,White,Abraham,,MA,Norton,no,Abraham White,False,False
869,May,Elisha,,MA,Attleboro,yes,Elisha May,False,False
870,Wilmarth,Moses,,MA,Attleboro,yes,Moses Wilmarth,False,False
871,Richmond,Sylvester,,MA,Dighton,yes,Sylvester Richmond,False,False
872,Baylies,William,,MA,Dighton,yes,William Baylies,False,False
873,Durfee,Thomas,,MA,Freetown,yes,Thomas Durfee,False,False
874,Washburn,Israel,,MA,Freetown,yes,Israel Washburn,False,False
875,Tisdell,Eben,,MA,Easton,no,Eben Tisdell,False,False
876,Pratt,John,,MA,Mansfield,no,John Pratt,False,False
877,Spooner,W.,,MA,New Bedford,yes,W. Spooner,False,False
878,West,Samuel,,MA,New Bedford,yes,Samuel West,False,False
879,Almy,William,,MA,Westport,yes,William Almy,False,False
880,Preble,Esaias,,MA,York,no,Esaias Preble,False,False
881,Barrell,Nathaniel,,MA,York,no,Nathaniel Barrell,False,False
882,Adams,Mark,,MA,Kittery,no,Mark Adams,False,False
883,Neal,James,,MA,Kittery,no,James Neal,False,False
884,Hemmenway,Mr.,,MA,Wells,yes,Mr. Hemmenway,False,False
885,Wells,Nathaniel,,MA,Wells,yes,Nathaniel Wells,False,False
886,Low,Nathaniel,,MA,Berwick,no,Nathaniel Low,False,False
887,Cutts,Richard F.,,MA,Berwick,no,Richard F. Cutts,False,False
888,Hays,Elijah,,MA,Berwick,no,Elijah Hays,False,False
889,Cutts,T.,,MA,Pepperelboro,yes,T. Cutts,False,False
890,Wentworth,T.M.,,MA,Lebanon,no,T.M. Wentworth,False,False
891,Nason,Samuel,,MA,Sanford,no,Samuel Nason,False,False
892,Bradbury,Jacob,,MA,Buxton,yes,Jacob Bradbury,False,False
893,Ames,Moses,,MA,Fryeburg,no,Moses Ames,False,False
894,Low,John,,MA,Coxhall,yes,John Low,True,True
895,Emery,Jeremiah,,MA,Shapleigh,no,Jeremiah Emery,False,False
896,Tingley,Pel.,,MA,Waterboro,no,Pel. Tingley,False,False
897,Mayhew,William,,MA,Edgartown,yes,William Mayhew,False,False
898,Dunham,C.,,MA,Tisbury,yes,C. Dunham,False,False
