,,,,,Value,Value
,,,,,sum,count
Samuel Huntington,Samuel,Huntington,CT,yes,11.88,1
Samuel Johnston,Samuel,Johnston,NC,yes,1450.7000000000003,28
Samuel Jones,Samuel,Jones,NY,yes,4644.9400000000005,34
Samuel Langdon,Samuel,Langdon,NH,yes,135.82,1
Samuel Merrill,Samuel,Merrill,MA,yes,79.66999999999999,3
Samuel Niles,Samuel,Niles,MA,yes,77.42999999999999,4
Samuel Orton,Samuel,Orton,CT,yes,104.64,2
Samuel Reed,Samuel,Reed,MA,no,2435.2200000000003,15
Samuel Shipman,Samuel,Shipman,CT,yes,49.1,1
Samuel Simpson,Samuel,Simpson,NC,yes,203.3,3
Samuel Smith,Samuel,Smith,SC,yes,5190.630000000001,45
Samuel Spencer,Samuel,Spencer,NC,no,265.51,5
Samuel Taylor,Samuel,Taylor,SC,yes,756.8599999999999,15
Samuel Warren,Samuel,Warren,SC,yes,82.38,2
Samuel West,Samuel,West,MA,yes,76.6,1
Samuel Whiting,Samuel,Whiting,CT,no,390.32,5
Samuel Willard,Samuel,Willard,MA,no,77.47000000000001,3
Samuel Young,Samuel,Young,NH,yes,246.0,3
Selah Hart,Selah,Hart,CT,yes,80.0,1
Simeon Bright,Simeon,Bright,NC,yes,26.6,1
Simeon Smith,Simeon,Smith,CT,yes,4643.43,15
Solomon Green,Solomon,Green,NC,yes,162.6,3
Stanton Joseph,Stanton,Joseph,RI,no,262.08000000000004,6
Stephen Billings,Stephen,Billings,CT,yes,2117.0299999999997,7
Stephen Mix Mitchell,Stephen Mix,Mitchell,CT,yes,562.6999999999999,9
Stephen Smith,Stephen,Smith,SC,yes,91.7,2
Thomas  Collins,Thomas ,Collins,DE,yes,837.9,12
Thomas Allen,Thomas,Allen,VA,no,9.05,1
Thomas Anderson,Thomas,Anderson,NJ,yes,5101.27,22
Thomas Arthur,Thomas,Arthur,VA,no,180.6,2
Thomas Blount,Thomas,Blount,NC,yes,32.2,1
Thomas Brown,Thomas,Brown,NC,no,2905.98,51
Thomas Bull,Thomas,Bull,PA,yes,148.26,1
Thomas Campbell,Thomas,Campbell,PA,yes,3566.6500000000005,14
Thomas Carter,Thomas,Carter,VA,No,68.69,1
Thomas Chase,Thomas,Chase,NH,no,23.0,1
Thomas Cheney,Thomas,Cheney,PA,yes,307.9,6
Thomas Cooper,Thomas,Cooper,VA,no,100.0,2
Thomas Davis,Thomas,Davis,MA,yes,1298.82,20
Thomas Durfee,Thomas,Durfee,MA,yes,43.1,1
Thomas Edmunds,Thomas,Edmunds,VA,no,5502.83,15
Thomas Evans,Thomas,Evans,DE,yes,3330.16,14
Thomas Fuller,Thomas,Fuller,SC,yes,241.55999999999997,5
Thomas Gaskins,Thomas,Gaskins,VA,yes,4133.3,3
Thomas Goodman,Thomas,Goodman,CT,no,229.33,2
Thomas H. Perkins,Thomas H.,Perkins,NC,no,267.61,5
Thomas Howell,Thomas,Howell,SC,no,227.2,4
Thomas Johnson,Thomas,Johnson,MD,yes,573.25,11
Thomas Johnston,Thomas,Johnston,NC,yes,573.25,11
Thomas Jones,Thomas,Jones,MA,yes,2487.6799999999994,42
Thomas Kittridge,Thomas,Kittridge,MA,no,147.25,2
Thomas Lewis,Thomas,Lewis,VA,yes,357.19,9
Thomas Matthews,Thomas,Matthews,VA,yes,1373.1499999999996,22
Thomas Mighill,Thomas,Mighill,MA,no,277.19,3
Thomas Owen,Thomas,Owen,NC,yes,5.82,1
Thomas P. Williams,Thomas P.,Williams,NC,yes,1153.5399999999997,25
Thomas Person,Thomas,Person,NC,no,98.80000000000001,3
Thomas Pierce,Thomas,Pierce,VA,did not vote,543.5,12
Thomas Read,Thomas,Read,VA,no,124.30000000000001,2
Thomas Reynolds,Thomas,Reynolds,NJ,yes,718.9399999999999,12
Thomas Rice,Thomas,Rice,MA,yes,594.9399999999999,10
Thomas Russel,Thomas,Russel,MA,yes,1818.44,7
Thomas Scott,Thomas,Scott,PA,yes,209.89999999999998,4
Thomas Sim Lee,Thomas Sim,Lee,MD,yes,79.8,2
Thomas Smith,Thomas,Smith,VA,yes,2481.5600000000004,46
Thomas Stewart,Thomas,Stewart,NC,yes,293.70000000000005,5
Thomas Taylor,Thomas,Taylor,SC,no,404.69,7
Thomas Wade,Thomas,Wade,NC,yes,180.6,3
Thomas Walke,Thomas,Walke,VA,yes,38.6,1
Thomas Wastson,Thomas,Wastson,DE,yes,1073.26,19
Thomas Williams,Thomas,Williams,NC,no,2376.0800000000004,47
