,,,,,Dollars,Dollars,90th,90th
,,,,,sum,count,sum,count
Richard Smith,Richard,Smith,DE,yes,684.0,2,62,1
Richard Thomas,Richard,Thomas,MD,yes,56.0,2,115.0,2
Robert Alexander,Robert,Alexander,VA,no,61.0,1,18,1
Robert Andrews,Robert,Andrews,VA,yes,28.0,1,0,0
Robert Edwards,Robert,Edwards,NC,no,3.0,1,30.0,1
Robert Montgomery,Robert,Montgomery,NC,yes,27.0,1,66.0,1
Robert Morris,Robert,Morris,Constitution,yes,1051.0,6,217.0,6
Robert Ogden,Robert,Ogden,NJ,yes,42.0,2,60.0,1
Robert R. Livingston,Robert R.,Livingston,NY,yes,10720.0,6,168,3
Robert Whitehill,Robert,Whitehill,PA,no,5.0,1,0,0
Robert Williams,Robert,Williams,VA,no,136.0,9,399.0,8
Robert Wilson,Robert,Wilson,MA,no,172.0,3,76.0,2
Samuel Adams,Samuel,Adams,MA,yes,33.0,1,30.0,1
Samuel Baker,Samuel,Baker,MA,yes,613.0,9,220.0,5
Samuel Canfield,Samuel,Canfield,CT,yes,13.0,1,68.0,1
Samuel Davenport,Samuel,Davenport,CT,no,10.0,1,30.0,1
Samuel Edmison,Samuel,Edmison,VA,no,1026.0,1,12.0,1
Samuel Evans,Samuel,Evans,MD,yes,174.0,3,79.0,2
Samuel H. Parsons,Samuel H.,Parsons,CT,yes,25.0,1,0,0
Samuel Huntington,Samuel,Huntington,CT,yes,33.0,3,0,0
Samuel Johnston,Samuel,Johnston,NC,yes,379.0,3,101.0,2
Samuel Jones,Samuel,Jones,NY,yes,73.0,3,66.0,3
Samuel Langdon,Samuel,Langdon,NH,yes,25.0,1,6.0,1
Samuel Orton,Samuel,Orton,CT,yes,378.0,4,118.0,3
Samuel Reed,Samuel,Reed,MA,no,9.0,1,86.0,1
Samuel Simpson,Samuel,Simpson,NC,yes,214.0,2,77.0,2
Samuel Smith,Samuel,Smith,SC,yes,669.0,15,408.0,11
Samuel Taylor,Samuel,Taylor,SC,yes,6.0,2,22.0,1
Samuel Warren,Samuel,Warren,SC,yes,305.0,3,89.0,3
Samuel Watson,Samuel,Watson,SC,no,22.0,1,0,0
Samuel Young,Samuel,Young,NH,yes,822.0,5,255.0,5
Sands Ray,Sands,Ray,RI,did not vote,56.0,1,17.0,1
Sears George,Sears,George,RI,yes,63.0,4,193.0,4
Seth Crocker,Seth,Crocker,CT,yes,7.0,1,45.0,1
Seth Newton,Seth,Newton,MA,yes,10.0,1,0,0
Simeon Smith,Simeon,Smith,CT,yes,561.0,3,66.0,2
Slocum Giles,Slocum,Giles,RI,no,5.0,1,64.0,1
Solomon Maxwell,Solomon,Maxwell,DE,yes,1121.0,7,140.0,4
Stephen Smith,Stephen,Smith,SC,yes,2045.0,2,54.0,2
