,,,,,Loan Office Certificates Face Value,Loan Office Certificates Face Value,Loan Office Certificates Specie Value,Loan Office Certificates Specie Value,State Certificates Dollars,State Certificates Dollars,State Certificates 90th,State Certificates 90th,Marine Certificates Dollars,Marine Certificates Dollars,Marine Certificates 90th,Marine Certificates 90th,Pierce Certificates Value,Pierce Certificates Value
,,,,,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count
Edmund Chadwick,Edmund,Chadwick,NH,yes,,,,,,,,,,,,,,
Peter Chaille,Peter,Chaille,MD,yes,,,,,,,,,,,,,,
St. Chamberlain,St.,Chamberlain,MA,no,,,,,,,,,,,,,,
Moses Chamberlain,Moses,Chamberlain,NH,yes,,,,,,,,,,,,,482.41999999999996,5.0
J. Chamberlin,J.,Chamberlin,MA,no,,,,,,,,,,,,,,
Stephen Chambers,Stephen,Chambers,PA,yes,,,,,,,,,,,,,,
Maxwell Chambers,Maxwell,Chambers,NC,yes,,,,,,,,,,,,,,
John Chandler,John,Chandler,CT,yes,400.0,2.0,40.18055,2.0,646.0,3.0,172.0,3.0,,,,,,
Samuel Chapman,Samuel,Chapman,CT,yes,,,,,,,,,,,,,808.44,10.0
Jabez Chapman,Jabez,Chapman,CT,yes,,,,,15.0,2.0,0,0.0,,,,,,
Thomas Chase,Thomas,Chase,NH,no,30500.0,94.0,13033.862099999986,94.0,1440.0,1.0,0,0.0,,,,,23.0,1.0
Jeremiah Townley Chase,Jeremiah Townley,Chase,MD,no,,,,,,,,,,,,,164.72,2.0
Jonathan Chase,Jonathan,Chase,NH,yes,3400.0,5.0,2317.2111,5.0,,,,,,,,,77.16,1.0
Samuel Chase,Samuel,Chase,MD,no,1600.0,3.0,122.94167000000002,3.0,,,,,,,,,250.28,5.0
Thomas Cheney,Thomas,Cheney,PA,yes,,,,,,,,,,,,,307.9,6.0
Jonathan Chesley,Jonathan,Chesley,NH,yes,,,,,,,,,,,,,,
"John Chesley, Jun.",John,"Chesley, Jun.",MD,yes,,,,,,,,,,,,,,
John Chesnut,John,Chesnut,SC,yes,,,,,8.0,2.0,44.0,2.0,,,,,,
Elijah Chessen,Elijah,Chessen,NC,yes,,,,,,,,,,,,,,
Samuel Chesson,Samuel,Chesson,NC,yes,,,,,,,,,,,,,,
John Chester,John,Chester,CT,yes,400.0,1.0,33.33889,1.0,50.0,2.0,60.0,2.0,,,,,537.3,9.0
John Chetwood,John,Chetwood,NJ,yes,,,,,3139.0,1.0,46.0,1.0,,,,,,
Charles Chilton,Charles,Chilton,MD,yes,2100.0,8.0,196.34999999999997,8.0,,,,,,,,,,
John Chisholm,John,Chisholm,SC,no,,,,,,,,,,,,,,
J. Choate,J.,Choate,MA,yes,,,,,,,,,,,,,,
Robert Christmas,Robert,Christmas,GA,yes,,,,,,,,,,,,,,
