,,,,,ASD_6p_Dollar,ASD_6p_Dollar,ASD_6p_Cents,ASD_6p_Cents,ASD_6p_def_Dollar,ASD_6p_def_Dollar,ASD_6p_def_Cents,ASD_6p_def_Cents,ASD_3p_Dollar,ASD_3p_Dollar,ASD_3p_Cents,ASD_3p_Cents
,,,,,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count
delegate name,First Name,Last Name,delegate_state,sign,,,,,,,,,,,,
Lewis Morris,Lewis,Morris,NY,yes,4121.0,1,0.6700000000000728,1,2060.0,1,0.8299999999999272,1,3091.0,1,0.23999999999978172,1
Lewis Morris,Lewis,Morris,SC,yes,4121.0,1,0.6700000000000728,1,2060.0,1,0.8299999999999272,1,3091.0,1,0.23999999999978172,1
Robert Morris,Robert,Morris,Constitution,yes,1767.0,1,0.8755555555553656,1,883.0,1,0.9377777777776828,1,1325.0,1,0.9066666666665242,1
Joseph Mosely,Joseph,Mosely,CT,yes,448.0,1,17.0,1,224.0,1,9.0,1,336.0,1,12.0,1
Isaac Motte,Isaac,Motte,SC,yes,6492.0,2,0.8600000000000136,2,3245.0,2,1.4199999999997885,2,4869.0,2,0.6399999999998727,2
John Nevill,John,Nevill,PA,yes,1945.0,1,73.0,1,972.0,1,86.0,1,1459.0,1,29.0,1
Roger Newberry,Roger,Newberry,CT,yes,175.0,1,82.0,1,87.0,1,91.0,1,131.0,1,87.0,1
William Noyes,William,Noyes,CT,yes,31200.0,48,2808.0,48,15576.0,48,3828.0,48,29552.0,48,2208.0,48
Isaac Parker,Isaac,Parker,SC,yes,145.0,1,0.6899999999999977,1,72.0,1,0.8400000000000034,1,109.0,1,0.2600000000000051,1
John Parker,John,Parker,SC,yes,3344.0,11,57.63777777777773,11,2299.0,11,237.30888888888887,11,9209.5675,11,292.96333333333314,10
Samuel H. Parsons,Samuel H.,Parsons,CT,yes,1903.0,1,0.8800000000001091,1,951.0,1,0.9400000000000546,1,1427.0,1,0.900000000000091,1
William Paterson,William,Paterson,Constitution,yes,10216.0,1,84.0,1,5108.0,1,42.0,1,7662.0,1,64.0,1
Robert Patton,Robert,Patton,SC,no,13113.0,27,1026.0,27,6552.0,27,963.0,27,9828.0,27,1440.0,27
William Peachy,William,Peachy,VA,yes,47.0,1,11.0,1,23.0,1,56.0,1,35.0,1,33.0,1
Thomas H. Perkins,Thomas H.,Perkins,NC,no,62.0,1,11.63,1,62.0,1,5.81,1,62.0,1,8.72,1
William Phillips,William,Phillips,MA,yes,176.0,1,61.0,1,88.0,1,30.0,1,132.0,1,45.0,1
Thomas Pierce,Thomas,Pierce,VA,did not vote,592.0,1,2.0,1,296.0,1,1.0,1,444.0,1,2.0,1
Charles Pinckney,Charles,Pinckney,Constitution,yes,4829.0,1,0.02999999999974534,1,2414.0,1,0.5100000000002183,1,3621.0,1,0.7600000000002183,1
Charles Pinckney,Charles,Pinckney,SC,yes,4829.0,1,0.02999999999974534,1,2414.0,1,0.5100000000002183,1,3621.0,1,0.7600000000002183,1
George Plater,George,Plater,MD,yes,127.0,1,86.0,1,0.0,0,0.0,0,95.0,1,91.0,1
Levin Powell,Levin,Powell,VA,yes,599.0,1,17.0,1,0.0,0,0.0,0,449.0,1,38.0,1
John Ramsay,John,Ramsay,NC,yes,31.0,1,93.0,1,15.0,1,96.0,1,23.0,1,94.0,1
David Ramsay,David,Ramsay,SC,yes,2046.0,1,0.8399999999999181,1,1023.0,1,0.4199999999999591,1,1535.0,1,0.13000000000010914,1
Edmund Randolph,Edmund,Randolph,VA,yes,6517.0,1,51.0,1,3258.0,1,76.0,1,4888.0,1,14.0,1
John Richards,John,Richards,PA,yes,0.0,0,0.0,0,144.0,2,182.0,2,3639.0,2,91.0,2
