,First Name,Last Name,Search Town,Search County,Search State,Name,"Home in 1790 (City, County, State)",index_new,valid
1398,Conrad,Stinger,,Berks County,PA,Conrod Stinger | Conrad Stinger,"Fannet, Hamilton, Letterkenney, Montgomery, and Peters, Franklin, Pennsylvania",2385,0
1414,Alexander,Lockhart,,Berks County,PA,Alexr Lockart,"West Nantmill, Chester, Pennsylvania",2420,0
1415,Benjamin,Mckewon,,Chester County,PA,Benjamin McKeehan | Benjamin Mc Keehan,"Hopewell, Newton, Tyborn, and Westpensboro, Cumberland, Pennsylvania",2421,0
1428,Solomon,Marks,,Westmoreland County,PA,Solomon Van Der Mark | Solomon Van Der Marter,"Marbletown, Ulster, New York",2440,0
1435,Matthew,Green,,Bucks County,PA,Revd Mrashbell Green | Revd M Ashbell Green,"Water Street East Side, Philadelphia, Pennsylvania",2450,0
1439,Christopher,Lentz,,Philadelphia County,PA,Christopher Lentz,"Springfield, Montgomery, Pennsylvania",2453,0
1446,Matthias,Ludwick,,Northumberland County,PA,Mattias Lodwich | Mattias Lodwick,"Macunge, Northampton, Pennsylvania",2474,0
1455,Peter,Vanderveer,,Somerset County,NJ,"John, and Peter Collier Vandervoort | John Vandervord","Bushwick, Kings, New York",2490,0
1834,Edward,Perry,,Clarendon County,SC,Edwd Perry | Edw Terry,"St Pauls, Charleston, South Carolina",3087,0
1872,Glen,Drayton,,Richland County,SC,Glenn Drayton,"St Andrews, Charleston, South Carolina",3173,0
9,Peleg,Sanford,Hartford,Hartford County,CT,Peleg Sanford,"Middletown, Middlesex, Connecticut",13,0
70,Elijah,Gridley,Mansfield Center,Tolland County,CT,Elijah Gridley,"Farmington, Hartford, Connecticut",115,0
