,town,state,new_town,county,new_state,country,name_type
423,Falmouth Massachusetts,MA,Falmouth,Barnstable County,MA,US,town
424,Dudley,MA,Dudley,Worcester County,MA,US,town
425,Springfield,RI,Springfield,Hampshire County,MA,US,town
426,Westport,MA,Westport,Bristol County,MA,US,town
427,Chesterfield Massachusetts,MA,Chesterfield,Hampshire County,MA,US,town
428,Freetown,MA,East Freetown,Bristol County,MA,US,town
429,North Kingstone,RI,North Kingston,Washington County,RI,US,town
430,Norton,MA,Norton,Bristol County,MA,US,town
431,North Kingstown,RI,North Kingstown,Washington County,RI,US,town
432,Stoughton now of Providence,RI,Providence,Providence County,RI,US,town
433,Alexandria,NH,Alexandria,Grafton County,NH,US,town
434,James Island,SC,,Charleston County,SC,US,county
435,Bermuda,BM,,,,BM,country
436,Georgetown,SC,Georgetown,Georgetown County,SC,US,town
437,,SC,,,SC,US,state
438,Camden Planter,SC,Camden,Kershaw County,SC,US,town
439,Virginia and Philadelphia,VA,Philadelphia,Philadelphia County,PA,US,town
440,St. Paul's,SC,,Clarendon County,SC,US,county
441,Williamsburgh,VA,Williamsburg,James City County,VA,US,town
442,Pee Dee,SC,,Marion County,SC,US,county
443,St Helena,SC,St Helena,Beaufort County,SC,US,town
444,Register of the Treasury,US,,,,US,country
445,,FR,,,,FR,country
446,St. George,SC,,Dorchester County,SC,US,county
447,Camden,SC,Camden,Kershaw County,SC,US,town
448,St. Thomas,VI,,,,VI,country
449,New River,SC,,Beaufort County,SC,US,county
450,St Johns,SC,Johns Island,Charleston County,SC,US,town
451,Winyaw,SC,,Georgetown County,SC,US,county
452,Broad River,SC,,Beaufort County,SC,US,county
453,Columbia,SC,Columbia,Richland County,SC,US,town
454,St Thomas,BVI,,,,VI,country
455,St Andrews,SC,,Richland County,SC,US,county
456,Great Britain,GB,,,,GB,country
457,Richard Sennings,SC,,,SC,US,state
458,96 District,SC,Philadelphia,Philadelphia County,PA,US,town
459,Edinburgh,GB,,,,GB,country
460,Abbeville,SC,Abbeville,Abbeville County,SC,US,town
461,Long Cames,SC,,Abbeville County,SC,US,county
462,Toogoodoo,SC,,Charleston County,SC,US,county
463,Bourdeaux,FR,,,,FR,country
464,The River May,VI,,,,VI,country
465,St Pauls,SC,,Clarendon County,SC,US,county
466,Ninety six District,SC,Philadelphia,Philadelphia County,PA,US,town
467,Richard County,SC,,Richland County,SC,US,county
468,Savannah,SC,Savannah,Chatham County,GA,US,town
469,Dorchester,SC,Dorchester,Dorchester County,SC,US,town
470,,NY,,,,US,
